district_code,state,district_number,total_population,pop_25_34,yp_estimate,yp_density_pct,yp_share_of_cohort_pct,swing_state,pct_bachelors,pct_employed,pct_income_40k_200k,pct_not_enrolled
CO-1,CO,1,717038,167147,58131,8.11,34.78,False,0.6476993305294142,0.8771919328495277,0.6812765796824278,0.8984965329919173
WA-7,WA,7,765336,176349,59147,7.73,33.54,False,0.7391025750075135,0.8767670925267509,0.584097638042174,0.8861121979710688
NY-12,NY,12,711829,155743,55015,7.73,35.32,False,0.9110200779489287,0.8859402990824627,0.4804956946247044,0.9108659779251715
IL-5,IL,5,753753,141663,56519,7.5,39.9,False,0.7925711018402829,0.8968890959530718,0.630721159488323,0.8898653847511347
TX-37,TX,37,767538,166235,55235,7.2,33.23,False,0.6358227810027972,0.8670616897765212,0.6747824197578552,0.8931813396697447
DC-98,DC,98,670587,152345,47186,7.04,30.97,False,0.7400767993698514,0.8316058945157373,0.575396694704809,0.8746266697298894
MA-7,MA,7,773828,178207,50704,6.55,28.45,False,0.6906799396207781,0.8331322563086747,0.6034081530992335,0.8194290908886857
MN-5,MN,5,707627,141264,46139,6.52,32.66,False,0.6106439007815154,0.8726427115188583,0.6992916004047998,0.8765007362102163
NY-7,NY,7,748880,172470,47829,6.39,27.73,False,0.621023946193541,0.8171450107265031,0.6041437120573812,0.9045515162057169
CA-11,CA,11,735920,169476,45366,6.16,26.77,False,0.8192546437253653,0.8799653048219217,0.4155603028043815,0.893512945785834
VA-8,VA,8,778819,137154,46157,5.93,33.65,False,0.712060895052277,0.8536098108695335,0.6346888257672564,0.8723478717354215
NY-10,NY,10,738425,149769,43383,5.88,28.97,False,0.774599549973626,0.8436926199680842,0.48686063914076944,0.9104020191094285
GA-5,GA,5,756319,151224,43918,5.81,29.04,True,0.6295693805216104,0.8383854414643178,0.6264002463475553,0.8783790932656192
CA-30,CA,30,744757,150844,42012,5.64,27.85,False,0.6074156081779852,0.8140993344117101,0.6320342556567479,0.8911391901567182
MA-8,MA,8,772082,129268,42975,5.57,33.24,False,0.6827598477581459,0.8765665129807841,0.6333855601779315,0.8770074573753752
IL-7,IL,7,730552,155677,39615,5.42,25.45,False,0.6287762482576104,0.79716978102096,0.5771967284051329,0.879558316257379
PA-3,PA,3,756676,159657,39637,5.24,24.83,True,0.5864071102425825,0.7989251958886864,0.6163250939235251,0.8598057084875702
NJ-8,NJ,8,760708,149526,39525,5.2,26.43,False,0.5812099567968113,0.8284913660500515,0.598979142185664,0.9164693765632733
CA-50,CA,50,735988,135420,37850,5.14,27.95,False,0.621200708905627,0.7931103234381923,0.66327404398992,0.8553167922020382
NC-14,NC,14,749863,129439,37941,5.06,29.31,True,0.5527468537303286,0.8429916794783643,0.6779785234043909,0.9278424586098472
NC-2,NC,2,738814,111140,36565,4.95,32.9,True,0.6424959510527263,0.8604642792873852,0.6753095770728013,0.8812308799712075
MA-5,MA,5,776872,118589,37364,4.81,31.51,False,0.7335081668620193,0.8475490981456965,0.5987320547119334,0.846469740026478
CA-17,CA,17,751593,146486,36052,4.8,24.61,False,0.7557787092281856,0.8355201179634913,0.43787514743785766,0.8900850593230752
CA-36,CA,36,740438,115481,35426,4.78,30.68,False,0.7436807786562292,0.8384842528208104,0.5644553234826422,0.8715546280340489
TX-32,TX,32,758895,150500,35374,4.66,23.5,False,0.4599468438538206,0.8371495016611296,0.6794998051649014,0.8983654485049833
WI-2,WI,2,735105,106135,33600,4.57,31.66,True,0.5702925519385688,0.8801432138314411,0.7211555959963604,0.874584255900504
MI-11,MI,11,774826,115610,35403,4.57,30.62,True,0.580780209324453,0.8403425309229305,0.7019645601496103,0.8938413632038751
OH-3,OH,3,785445,143063,34974,4.45,24.45,False,0.5043442399502317,0.8315217771191713,0.6653637270476964,0.8761035348063441
WA-1,WA,1,768493,126368,33271,4.33,26.33,False,0.5805188022284122,0.8114791719422638,0.6170764653722166,0.9057118890858445
CA-12,CA,12,750210,133950,32459,4.33,24.23,False,0.621224337439343,0.8209033221351251,0.5601925285784609,0.848234415826801
TX-7,TX,7,781231,151591,33372,4.27,22.01,False,0.5194173796597423,0.8010567909704402,0.6072094901283729,0.8713512015884848
PA-12,PA,12,763762,119887,32325,4.23,26.96,True,0.5521949836095656,0.8262780785239434,0.6661064527557982,0.8871520681975527
OR-1,OR,1,703447,116800,29779,4.23,25.5,False,0.5032277397260274,0.8194948630136987,0.7000061167958476,0.8831763698630137
KS-3,KS,3,733585,98535,30883,4.21,31.34,False,0.5519764550667275,0.8649515400619069,0.7281522819657287,0.9015578220936723
IL-3,IL,3,746412,123279,30868,4.14,25.04,False,0.47858921633043744,0.845667145255883,0.6890480872781758,0.8978495931991661
IL-9,IL,9,749895,100522,30537,4.07,30.38,False,0.6331250870456219,0.8325640158373292,0.6693491917906842,0.8610055510236565
